,A,C,D,E,F,G,H,L,N,P,Q,R,S,T,NoMatch
acl,8,0,0,101,2,0,15,0,0,0,0,0,1,0,49
advcl,2,2,0,0,0,0,103,1,0,4,0,0,0,0,97
advmod,61,9,399,51,12,33,3,61,0,2,10,6,5,117,71
amod,1,33,99,197,2,0,7,0,0,3,27,0,97,2,60
appos,1,10,0,8,0,0,5,0,0,0,1,0,4,0,10
aux,0,0,96,0,285,0,0,0,0,0,0,0,0,0,2
case,1,5,2,14,34,0,0,48,6,1,1,489,50,0,75
cc,0,0,1,0,0,0,0,305,71,0,1,1,0,0,11
ccomp,78,0,0,0,0,0,8,0,0,0,0,0,1,0,41
compound,23,24,8,176,2,0,0,0,0,1,1,1,3,3,164
conj,2,88,1,0,0,0,265,0,0,2,0,0,3,0,90
cop,0,0,0,0,333,0,0,0,0,3,0,1,24,0,3
csubj,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8
dep,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
det,2,1,19,763,1,1,0,0,0,0,19,2,0,0,26
discourse,0,1,0,0,1,6,13,3,0,0,0,0,1,0,1
expl,0,0,0,0,22,0,0,0,0,0,0,0,0,0,2
iobj,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
list,0,2,0,0,0,0,8,0,0,0,0,0,0,0,2
mark,0,2,3,0,186,1,0,134,1,0,0,53,1,1,18
nmod,100,1,1,233,0,0,6,0,0,0,0,0,3,4,110
nsubj,993,0,0,0,14,0,2,9,0,3,0,24,1,0,37
nummod,4,7,0,6,0,0,3,0,0,0,50,0,0,0,24
obj,439,7,5,1,1,0,1,1,0,8,1,6,0,4,92
obl,247,1,21,7,2,4,4,4,0,0,3,2,0,69,132
orphan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
parataxis,1,0,0,1,0,2,79,0,0,1,0,0,2,0,39
vocative,9,0,0,0,0,3,0,0,0,0,0,0,0,0,0
xcomp,44,1,2,2,0,0,1,0,0,5,0,0,7,0,116
head,125,1402,152,37,91,18,652,2,1,961,18,9,353,1,524
NoMatch,329,172,34,56,6,5,466,29,0,141,27,7,98,11,0
